position,company,low_wage,high_wage,mid_wage
Jr Soft. Eng,Semaphore,2996.0,5992.0,4494.0
Cloud Infra. Sec. Eng,Box,10000.0,13000.0,11500.0
Data Engineer ,Datumo,8000.0,14000.0,11000.0
Junior Software Engineer,Knowit,4000.0,7000.0,5500.0
Product Impl. Cons,FIS,6500.0,6500.0,6500.0
.NET Dev,IN Team,6700.0,11800.0,9250.0
Junior Java Dev,Cloud Services,6000.0,12000.0,9000.0
Spec ds. syst AIM,PANSA,7000.0,8500.0,7750.0
Jr Full-stack,Synergity,4000.0,8000.0,6000.0
Software Dev,TekMonks,8560.0,17120.0,12840.0
Tester manualny,Execon,4500.0,9000.0,6750.0
Full Stack,Hardware Direct,7000.0,12000.0,9500.0
Junior Java Dev,Summer Agency,6000.0,10000.0,8000.0
Junior IT Administrator,ANEGIS,6000.0,6000.0,6000.0
Jr Tech Project Manager,YND,5000.0,6500.0,5750.0
Junior Java Dev,braf.tech,10000.0,12000.0,11000.0
Jr Tech Project Manager,YND,5000.0,6500.0,5750.0
Junior Java Dev,braf.tech,10000.0,12000.0,11000.0
Junior DevOps,Daftcode,8000.0,12000.0,10000.0
InternalSuppSpec,Intiaro,3600.0,5000.0,4300.0
Linux System Admin,core3,8300.0,12500.0,10400.0
Jr Java Dev,Sollers,7700.0,11800.0,9750.0
Junior Java Dev,Netcompany,7000.0,8000.0,7500.0
Junior PHP Dev,eStoreMedia,4500.0,6000.0,5250.0
Junior PHP Dev,CKSource,6000.0,10700.0,8350.0
Quality Tester,OrderGroup,6000.0,8000.0,7000.0
Junior IT Specialist,Dealavo,5000.0,9000.0,7000.0
Junior python developer,F33.ai,5000.0,9000.0,7000.0
Frontend Dev,Omega,7000.0,12000.0,9500.0
Junior .NET Dev,ASTRAFOX,4000.0,8000.0,6000.0
Soft. Java Eng,Awin,8500.0,12500.0,10500.0
Junior Database Dev,Citi,7500.0,14400.0,10950.0
Inżynier ,OUTWORKING,9000.0,18000.0,13500.0
Jr Platform Eng,DevsData,17100.0,21400.0,19250.0
Junior Java Dev,Citi,7500.0,14400.0,10950.0
Java Dev,iView Recruitment,15000.0,17000.0,16000.0
Jr HelpDesk,TEAM International,6000.0,9200.0,7600.0
Junior JS developer,Hintech,5000.0,9000.0,7000.0
Junior Blockchain Dev,BlockLabs,6000.0,10000.0,8000.0
Jr System Eng.,METTLER TOLEDO,9000.0,14000.0,11500.0
IT Project Manager,BETFAN,7000.0,10000.0,8500.0
Junior Python Dev,CloudFerro,4500.0,9000.0,6750.0
Jr Test,YND,4500.0,6500.0,5500.0
iOS Dev,Affirm,13000.0,16000.0,14500.0
Tech.DeliveryCon.,Pragmile,4200.0,8400.0,6300.0
Junior Frontend Dev,Sages,5000.0,7000.0,6000.0
Mł Programista .NET,Altkom,4200.0,6000.0,5100.0
Mobile Dev,Altkom,4200.0,6000.0,5100.0
Junior IT recruiter,Blazity,3500.0,5000.0,4250.0
